"date_time","temperature"
2018-10-03 08:00:00,8.235
2018-10-03 09:00:00,7.842
2018-10-03 10:00:00,7.34
2018-10-03 11:00:00,6.823
2018-10-03 12:00:00,6.413
2018-10-03 13:00:00,6.14
2018-10-03 14:00:00,5.801
2018-10-03 15:00:00,5.608
2018-10-03 16:00:00,5.431
2018-10-03 17:00:00,5.269
2018-10-03 18:00:00,5.248
2018-10-03 19:00:00,5.192
2018-10-03 20:00:00,5.1
2018-10-03 21:00:00,5.062
2018-10-03 22:00:00,4.961
2018-10-03 23:00:00,4.879
2018-10-04 00:00:00,4.8
2018-10-04 01:00:00,4.801
2018-10-04 02:00:00,5.018
2018-10-04 03:00:00,5.825
2018-10-04 04:00:00,7.092
2018-10-04 05:00:00,8.172
2018-10-04 06:00:00,7.568
2018-10-04 07:00:00,6.15
2018-10-04 08:00:00,4.217
2018-10-04 09:00:00,4.2
2018-10-04 10:00:00,4.2
2018-10-04 11:00:00,4.2
2018-10-04 12:00:00,4.2
2018-10-04 13:00:00,4.2
2018-10-04 14:00:00,4.125
2018-10-04 15:00:00,4.028
2018-10-04 16:00:00,3.925
2018-10-04 17:00:00,3.798
2018-10-04 18:00:00,3.7
2018-10-04 19:00:00,3.596
2018-10-04 20:00:00,3.489
2018-10-04 21:00:00,3.4
2018-10-04 22:00:00,3.306
2018-10-04 23:00:00,3.233
2018-10-05 00:00:00,3.182
2018-10-05 01:00:00,3.1
2018-10-05 02:00:00,3.183
2018-10-05 03:00:00,3.579
2018-10-05 04:00:00,4.238
2018-10-05 05:00:00,4.902
2018-10-05 06:00:00,5.467
2018-10-05 07:00:00,5.683
2018-10-05 08:00:00,5.663
2018-10-05 09:00:00,5.471
2018-10-05 10:00:00,5.081
2018-10-05 11:00:00,4.688
2018-10-05 12:00:00,4.435
2018-10-05 13:00:00,4.261
2018-10-05 14:00:00,4.147
2018-10-05 15:00:00,4.038
2018-10-05 16:00:00,3.961
2018-10-05 17:00:00,3.896
2018-10-05 18:00:00,3.8
2018-10-05 19:00:00,3.753
2018-10-05 20:00:00,3.7
2018-10-05 21:00:00,3.64
2018-10-05 22:00:00,3.6
2018-10-05 23:00:00,3.547
2018-10-06 00:00:00,3.5
2018-10-06 01:00:00,3.5
2018-10-06 02:00:00,3.5
2018-10-06 03:00:00,3.5
2018-10-06 04:00:00,3.5
2018-10-06 05:00:00,3.602
2018-10-06 06:00:00,4.007
2018-10-06 07:00:00,4.258
2018-10-06 08:00:00,4.388
2018-10-06 09:00:00,4.232
2018-10-06 10:00:00,4.029
2018-10-06 11:00:00,3.801
2018-10-06 12:00:00,3.683
2018-10-06 13:00:00,3.6
2018-10-06 14:00:00,3.553
2018-10-06 15:00:00,3.5
2018-10-06 16:00:00,3.403
2018-10-06 17:00:00,3.285
2018-10-06 18:00:00,3.2
2018-10-06 19:00:00,3.119
2018-10-06 20:00:00,3.061
2018-10-06 21:00:00,3
2018-10-06 22:00:00,2.908
2018-10-06 23:00:00,2.83
2018-10-07 00:00:00,2.753
2018-10-07 01:00:00,2.7
2018-10-07 02:00:00,2.7
2018-10-07 03:00:00,2.708
2018-10-07 04:00:00,2.989
2018-10-07 05:00:00,3.889
2018-10-07 06:00:00,4.862
2018-10-07 07:00:00,5.464
2018-10-07 08:00:00,5.782
2018-10-07 09:00:00,5.769
2018-10-07 10:00:00,5.577
2018-10-07 11:00:00,5.253
2018-10-07 12:00:00,4.82
2018-10-07 13:00:00,4.429
2018-10-07 14:00:00,4.139
2018-10-07 15:00:00,3.907
2018-10-07 16:00:00,3.685
2018-10-07 17:00:00,3.528
2018-10-07 18:00:00,3.407
2018-10-07 19:00:00,3.353
2018-10-07 20:00:00,3.3
2018-10-07 21:00:00,3.249
2018-10-07 22:00:00,3.2
2018-10-07 23:00:00,3.119
2018-10-08 00:00:00,3.099
2018-10-08 01:00:00,3.001
2018-10-08 02:00:00,3
2018-10-08 03:00:00,3.077
2018-10-08 04:00:00,3.138
2018-10-08 05:00:00,3.307
2018-10-08 06:00:00,3.562
2018-10-08 07:00:00,3.747
2018-10-08 08:00:00,3.8
2018-10-08 09:00:00,3.66
2018-10-08 10:00:00,3.429
2018-10-08 11:00:00,3.278
2018-10-08 12:00:00,3.197
2018-10-08 13:00:00,3.1
2018-10-08 14:00:00,3.053
2018-10-08 15:00:00,3
2018-10-08 16:00:00,3
2018-10-08 17:00:00,2.951
2018-10-08 18:00:00,2.9
2018-10-08 19:00:00,2.9
2018-10-08 20:00:00,2.885
2018-10-08 21:00:00,2.8
2018-10-08 22:00:00,2.8
2018-10-08 23:00:00,2.8
2018-10-09 00:00:00,2.714
2018-10-09 01:00:00,2.7
2018-10-09 02:00:00,2.7
2018-10-09 03:00:00,2.7
2018-10-09 04:00:00,2.7
2018-10-09 05:00:00,2.7
2018-10-09 06:00:00,2.601
2018-10-09 07:00:00,2.6
2018-10-09 08:00:00,2.6
2018-10-09 09:00:00,2.6
2018-10-09 10:00:00,2.6
2018-10-09 11:00:00,2.6
2018-10-09 12:00:00,2.6
2018-10-09 13:00:00,2.6
2018-10-09 14:00:00,2.597
2018-10-09 15:00:00,2.502
2018-10-09 16:00:00,2.5
2018-10-09 17:00:00,2.5
2018-10-09 18:00:00,2.5
2018-10-09 19:00:00,2.5
2018-10-09 20:00:00,2.5
2018-10-09 21:00:00,2.5
2018-10-09 22:00:00,2.5
2018-10-09 23:00:00,2.471
2018-10-10 00:00:00,2.4
2018-10-10 01:00:00,2.4
2018-10-10 02:00:00,2.4
2018-10-10 03:00:00,2.4
2018-10-10 04:00:00,2.4
2018-10-10 05:00:00,2.4
2018-10-10 06:00:00,2.4
2018-10-10 07:00:00,2.4
2018-10-10 08:00:00,2.4
2018-10-10 09:00:00,2.4
2018-10-10 10:00:00,2.339
2018-10-10 11:00:00,2.3
2018-10-10 12:00:00,2.3
2018-10-10 13:00:00,2.3
2018-10-10 14:00:00,2.3
2018-10-10 15:00:00,2.3
2018-10-10 16:00:00,2.3
2018-10-10 17:00:00,2.3
2018-10-10 18:00:00,2.3
2018-10-10 19:00:00,2.284
2018-10-10 20:00:00,2.2
2018-10-10 21:00:00,2.2
2018-10-10 22:00:00,2.2
2018-10-10 23:00:00,2.2
2018-10-11 00:00:00,2.2
2018-10-11 01:00:00,2.2
2018-10-11 02:00:00,2.2
2018-10-11 03:00:00,2.2
2018-10-11 04:00:00,2.199
2018-10-11 05:00:00,2.11
2018-10-11 06:00:00,2.1
2018-10-11 07:00:00,2.1
2018-10-11 08:00:00,2.1
2018-10-11 09:00:00,2.1
2018-10-11 10:00:00,2.1
2018-10-11 11:00:00,2.1
2018-10-11 12:00:00,2.1
2018-10-11 13:00:00,2.1
2018-10-11 14:00:00,2.1
2018-10-11 15:00:00,2.1
2018-10-11 16:00:00,2.098
2018-10-11 17:00:00,2.068
